target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
G,random_fivefold_cv,1,ExtraTrees,ok,777,195,-0.05362004703667034,0.034165605061235116,184.5316210494806,59.77839171921684,42.16556148256149
G,random_fivefold_cv,2,ExtraTrees,ok,777,195,0.02243471637157124,-0.005956690074461202,125.14117964235811,48.70382641925645,79.16081387293711
G,random_fivefold_cv,3,ExtraTrees,ok,778,194,-0.06795477521356208,0.0136567299131658,76.21399183349779,35.6722187342993,35.63592876961345
G,random_fivefold_cv,4,ExtraTrees,ok,778,194,0.11572041970047842,0.13442619402735134,156.22239647807467,46.17333357246087,45.823539042357666
G,random_fivefold_cv,5,ExtraTrees,ok,778,194,-0.011497561836304238,0.08384469616173851,735.3549734375429,124.798979692907,33.772633899225504
G,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.001290253984283618,0.057869093529627436,352.0374402644201,63.00727545775486,47.33916761964442
H,random_fivefold_cv,1,RF,ok,777,195,0.1049706128976664,0.1487545912439071,0.4825694585649971,0.12827525966505576,100.41926407226107
H,random_fivefold_cv,2,RF,ok,777,195,-0.38031391414252846,-0.32743100722752283,0.2810020529812108,0.09827295223131867,82.28767501208206
H,random_fivefold_cv,3,RF,ok,778,194,0.327160215405478,0.29183795798604883,0.12011502067169225,0.059741691600465115,76.95640326002423
H,random_fivefold_cv,4,RF,ok,778,194,0.12412183259225384,0.03231306381812593,0.2250934466224538,0.09629917750451922,103.57290874923977
H,random_fivefold_cv,5,RF,ok,778,194,0.27679332102702847,0.4223983635099253,0.46382925464807395,0.13356573617062484,75.98196156064212
H,random_fivefold_cv,pooled,RF,ok,778,972,0.15259909016300444,0.17989870973508737,0.34422479194877675,0.10325162833668848,87.85086439712829
H,random_fivefold_cv,1,XGBoost,ok,777,195,0.07607148396721164,0.12120802379057449,0.4902982808233813,0.124331457312535,91.38406807602348
H,random_fivefold_cv,2,XGBoost,ok,777,195,-0.5453193922271617,-0.4371214732345412,0.29732380852918594,0.10309820084574896,82.90505184983418
H,random_fivefold_cv,3,XGBoost,ok,778,194,0.27822024795564604,0.23177103200116211,0.12440671890149377,0.062009987643606886,78.65904756968722
H,random_fivefold_cv,4,XGBoost,ok,778,194,0.17425560479440738,0.11330774984500047,0.21855654564411492,0.08823394608355059,94.43201287175465
H,random_fivefold_cv,5,XGBoost,ok,778,194,0.38112848426364276,0.5103203257207454,0.42906903146773934,0.1282781637537418,73.50676727972505
H,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.175211950286712,0.1963500190903067,0.3396009238819436,0.10121612165860064,84.18349481836279
H,random_fivefold_cv,1,LightGBM,ok,777,195,0.06689539093556318,0.10386906915698702,0.4927269898958464,0.12892207416905146,93.30006594564988
H,random_fivefold_cv,2,LightGBM,ok,777,195,-0.1645186211598637,-0.22143932690255563,0.25810343155514004,0.10318678352602541,88.7480439081369
H,random_fivefold_cv,3,LightGBM,ok,778,194,0.3517437122236372,0.19325105456123348,0.1179002857742846,0.0675819543000209,86.49098544499046
H,random_fivefold_cv,4,LightGBM,ok,778,194,0.1521461333038885,0.058626277723864084,0.22146316546573167,0.09057551753525254,86.55585595838662
H,random_fivefold_cv,5,LightGBM,ok,778,194,0.13371195705114114,0.2381207514741117,0.5076426269931344,0.14139931959961807,75.40928431719429
H,random_fivefold_cv,pooled,LightGBM,ok,778,972,0.09840932310726092,0.11242634153246767,0.3550605236195349,0.10635313249887751,86.11097717209802
H,random_fivefold_cv,1,ExtraTrees,ok,777,195,0.0931683222391908,0.15384279580409121,0.48574073551890595,0.1233982598162207,92.5520349266223
H,random_fivefold_cv,2,ExtraTrees,ok,777,195,-0.10240056551082288,-0.09199267172394898,0.25112518724531424,0.087574921617319,74.52206438271088
H,random_fivefold_cv,3,ExtraTrees,ok,778,194,0.24568964152854322,0.24637158690897554,0.1271793276317348,0.058831608794348254,74.2075631488707
H,random_fivefold_cv,4,ExtraTrees,ok,778,194,0.22511707891696242,0.142455332929317,0.21171861535998374,0.09195269882609527,94.82695032469951
H,random_fivefold_cv,5,ExtraTrees,ok,778,194,0.18897779018984429,0.33288809978310585,0.49118296525938143,0.13304838311699788,67.09270841040235
H,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.1395611467725929,0.1945414564069956,0.3468627712274796,0.09897460121667066,80.64622470248008
